--------------------------------------------------
dataset: ZINC
device: 0
downsample: False
handtune: 
model:
  embs: (0, 1, 2)
  embs_combine_mode: concat
  gnn_type: GCNConv
  hidden_size: 128
  hops_dim: 16
  mini_layers: 5
  mlp_layers: 1
  num_layers: 6
  pool: add
  residual: True
  use_normal_gnn: False
  virtual_node: False
num_workers: 8
sampling:
  batch_factor: 1
  mode: None
  random_rate: 0.5
  redundancy: 0
  stride: 2
seed: None
subgraph:
  hops: 3
  online: True
  walk_length: 0
  walk_p: 1.0
  walk_q: 1.0
  walk_repeat: 5
task: -1
train:
  batch_size: 128
  dropout: 0.0
  epochs: 100
  lr: 0.001
  lr_decay: 0.5
  lr_patience: 50
  runs: 1
  wd: 0.0
version: final
--------------------------------------------------
Time: 2022/12/05 - 01:27
Epoch: 072, Train Loss: 0.1551, Val: -0.1859, Test: -0.1507, Seconds: 14.0509, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 073, Train Loss: 0.1560, Val: -0.2648, Test: -0.1507, Seconds: 14.6442, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 074, Train Loss: 0.1638, Val: -0.2723, Test: -0.1507, Seconds: 15.0927, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 075, Train Loss: 0.1549, Val: -0.2407, Test: -0.1507, Seconds: 14.3121, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 076, Train Loss: 0.1583, Val: -0.2057, Test: -0.1507, Seconds: 14.4871, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 077, Train Loss: 0.1451, Val: -0.1785, Test: -0.1386, Seconds: 15.8453, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 078, Train Loss: 0.1577, Val: -0.1785, Test: -0.1386, Seconds: 14.1986, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 079, Train Loss: 0.1651, Val: -0.1881, Test: -0.1386, Seconds: 14.1806, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 080, Train Loss: 0.1583, Val: -0.1917, Test: -0.1386, Seconds: 14.0856, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 081, Train Loss: 0.1479, Val: -0.1999, Test: -0.1386, Seconds: 14.0683, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 082, Train Loss: 0.1449, Val: -0.2172, Test: -0.1386, Seconds: 14.1580, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 083, Train Loss: 0.1621, Val: -0.2439, Test: -0.1386, Seconds: 14.7499, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 084, Train Loss: 0.1423, Val: -0.2359, Test: -0.1386, Seconds: 14.9930, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 085, Train Loss: 0.1473, Val: -0.2259, Test: -0.1386, Seconds: 14.3354, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 086, Train Loss: 0.1433, Val: -0.2055, Test: -0.1386, Seconds: 14.1897, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 087, Train Loss: 0.1497, Val: -0.2007, Test: -0.1386, Seconds: 14.4784, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 088, Train Loss: 0.1433, Val: -0.2199, Test: -0.1386, Seconds: 14.1808, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 089, Train Loss: 0.1542, Val: -0.2266, Test: -0.1386, Seconds: 14.7121, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 090, Train Loss: 0.1503, Val: -0.2798, Test: -0.1386, Seconds: 14.2331, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 091, Train Loss: 0.1482, Val: -0.2009, Test: -0.1386, Seconds: 14.2214, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 092, Train Loss: 0.1512, Val: -0.2690, Test: -0.1386, Seconds: 14.4803, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 093, Train Loss: 0.1466, Val: -0.2517, Test: -0.1386, Seconds: 14.4584, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 094, Train Loss: 0.1396, Val: -0.1878, Test: -0.1386, Seconds: 14.6932, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 095, Train Loss: 0.1387, Val: -0.1990, Test: -0.1386, Seconds: 14.1707, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 096, Train Loss: 0.1507, Val: -0.1764, Test: -0.1445, Seconds: 15.3635, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 097, Train Loss: 0.1543, Val: -0.2020, Test: -0.1445, Seconds: 14.6814, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 098, Train Loss: 0.1365, Val: -0.1686, Test: -0.1380, Seconds: 15.5001, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 099, Train Loss: 0.1412, Val: -0.2060, Test: -0.1380, Seconds: 14.4865, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Epoch: 100, Train Loss: 0.1394, Val: -0.1833, Test: -0.1380, Seconds: 14.7864, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Run 1, Vali: -0.16857235622406005, Test: -0.13798270225524903, Seconds/epoch: 14.474416551589966, Memory Peak: 2412 MB allocated, 3194 MB reserved.
Final Vali: -0.1686 ± nan, Final Test: -0.1380 ± nan,Seconds/epoch: 14.474416551589966, Memory Peak: 2412 MB allocated, 3194 MB reserved.
